City,City-Country_EN
"Lexington, KY","Lexington, KY, United States"
Arequipa,"Arequipa, Peru"
"Palembang, Sumatra","Palembang, Sumatra, Indonesia"
"Erie, PA","Erie, PA, United States"
"Omaha, NE","Omaha, NE, United States"
Jena,"Jena, Germany"
"Hilo, Hawaii","Hilo, Hawaii, United States"
Hue,"Hue, Vietnam"
Trondheim,"Trondheim, Norway"
Goiania,"Goiania, Brazil"
Casablanca,"Casablanca, Morocco"
Guayaquil,"Guayaquil, Ecuador"
"Brentwood, CA","Brentwood, CA, United States"
"Sparks, NV","Sparks, NV, United States"
"Carson City, NV","Carson City, NV, United States"
"Kuta, Bali","Kuta, Bali, Indonesia"
Norwich,"Norwich, United Kingdom"
"Davenport, IA","Davenport, IA, United States"
Ushuaia,"Ushuaia, Argentina"
"Dothan, AL","Dothan, AL, United States"
São José dos Campos,"São José dos Campos, Brazil"
"Fort Smith, AR","Fort Smith, AR, United States"
The Hague,"The Hague, Netherlands"
Florence,"Florence, Italy"
"Billings, MT","Billings, MT, United States"
"Allentown, PA","Allentown, PA, United States"
Boracay,"Boracay, Philippines"
Port Louis,"Port Louis, Mauritius"
Gaborone,"Gaborone, Botswana"
Santo Domingo,"Santo Domingo, Dominican Republic"
"Tracy, CA","Tracy, CA, United States"
"Scranton, PA","Scranton, PA, United States"
Antwerp,"Antwerp, Belgium"
Asuncion,"Asuncion, Paraguay"
Mui Ne,"Mui Ne, Vietnam"
"Yuba City, CA","Yuba City, CA, United States"
"Grand Forks, ND","Grand Forks, ND, United States"
Kigali,"Kigali, Rwanda"
Baku,"Baku, Azerbaijan"
Dnipro,"Dnipro, Ukraine"
Guwahati,"Guwahati, India"
"Charleston, SC","Charleston, SC, United States"
Bucaramanga,"Bucaramanga, Colombia"
"Waterloo, IA","Waterloo, IA, United States"
Jiaxing,"Jiaxing, China"
Port Said,"Port Said, Egypt"
Grenoble,"Grenoble, France"
"Springdale, AR","Springdale, AR, United States"
"Lafayette, LA","Lafayette, LA, United States"
Amritsar,"Amritsar, India"
Karlsruhe,"Karlsruhe, Germany"
Vadodara,"Vadodara, India"
Iasi,"Iasi, Romania"
"Palma, Mallorca","Palma, Mallorca, Spain"
"Visalia, CA","Visalia, CA, United States"
Antigua,"Antigua, Guatemala"
"Lodi, CA","Lodi, CA, United States"
"Victoria, TX","Victoria, TX, United States"
Gold Coast,"Gold Coast, Australia"
"Pharr, TX","Pharr, TX, United States"
Novosibirsk,"Novosibirsk, Russia"
Lille,"Lille, France"
"Honolulu, Hawaii","Honolulu, Hawaii, United States"
Torreon,"Torreon, Mexico"
"Medan, Sumatra","Medan, Sumatra, Indonesia"
Ipoh,"Ipoh, Malaysia"
"Washington, DC","Washington, DC, United States"
"Bradenton, FL","Bradenton, FL, United States"
Nizhny,"Nizhny, Russia"
Vitória,"Vitória, Brazil"
Leipzig,"Leipzig, Germany"
"Coeur d'Alene, ID","Coeur d'Alene, ID, United States"
Rzeszow,"Rzeszow, Poland"
"McAllen, TX","McAllen, TX, United States"
Oranjestad,"Oranjestad, Aruba"
"Olympia, WA","Olympia, WA, United States"
Raipur,"Raipur, India"
Trento,"Trento, Italy"
"Winston, NC","Winston, NC, United States"
"Mission, TX","Mission, TX, United States"
Malacca,"Malacca, Malaysia"
Nijmegen,"Nijmegen, Netherlands"
Manama,"Manama, Bahrain"
"Faro, Algarve","Faro, Algarve, Portugal"
Fuzhou,"Fuzhou, China"
Palermo,"Palermo, Italy"
Khartoum,"Khartoum, Sudan"
"Rapid City, SD","Rapid City, SD, United States"
Galway,"Galway, Ireland"
"Fresno, CA","Fresno, CA, United States"
"Beaverton, OR","Beaverton, OR, United States"
Rabat,"Rabat, Morocco"
"Corvallis, OR","Corvallis, OR, United States"
San Pedro de Atacama,"San Pedro de Atacama, Chile"
Liberia,"Liberia, Costa Rica"
Luton,"Luton, United Kingdom"
"Sioux City, IA","Sioux City, IA, United States"
Tampere,"Tampere, Finland"
Lubumbashi,"Lubumbashi, DR Congo"
"St. Joseph, MO","St. Joseph, MO, United States"
Constantine,"Constantine, Algeria"
Malaga,"Malaga, Spain"
Izhevsk,"Izhevsk, Russia"
"Tuscaloosa, AL","Tuscaloosa, AL, United States"
Campos dos Goytacazes,"Campos dos Goytacazes, Brazil"
Sao Luis,"Sao Luis, Brazil"
"Bellingham, WA","Bellingham, WA, United States"
Treviso,"Treviso, Italy"
Tamarindo,"Tamarindo, Costa Rica"
Pai,"Pai, Thailand"
Dongguan,"Dongguan, China"
"Decatur, IL","Decatur, IL, United States"
"Hemet, CA","Hemet, CA, United States"
Brasilia,"Brasilia, Brazil"
Oulu,"Oulu, Finland"
"Chico, CA","Chico, CA, United States"
Changzhou,"Changzhou, China"
Sayulita,"Sayulita, Mexico"
Exeter,"Exeter, United Kingdom"
Wanaka,"Wanaka, New Zealand"
"Manteca, CA","Manteca, CA, United States"
Sorocaba,"Sorocaba, Brazil"
"Casper, WY","Casper, WY, United States"
Huai'an,"Huai'an, China"
Sharjah,"Sharjah, United Arab Emirates"
Lublin,"Lublin, Poland"
"Pensacola, FL","Pensacola, FL, United States"
Belfast,"Belfast, United Kingdom"
Quebec City,"Quebec City, Canada"
"Verdi, NV","Verdi, NV, United States"
"Ciutadella, Menorca","Ciutadella, Menorca, Spain"
Byron Bay,"Byron Bay, Australia"
Chennai,"Chennai, India"
"Taos, NM","Taos, NM, United States"
Ulyanovsk,"Ulyanovsk, Russia"
"Turlock, CA","Turlock, CA, United States"
Canberra,"Canberra, Australia"
Huizhou,"Huizhou, China"
"Cincinnati, OH","Cincinnati, OH, United States"
Liuzhou,"Liuzhou, China"
Utrecht,"Utrecht, Netherlands"
Kassel,"Kassel, Germany"
Visakhapatnam,"Visakhapatnam, India"
Cixi,"Cixi, China"
"Pasco, WA","Pasco, WA, United States"
Daejeon,"Daejeon, South Korea"
Pamplona,"Pamplona, Spain"
"Huntsville, AL","Huntsville, AL, United States"
Barranquilla,"Barranquilla, Colombia"
Kunming,"Kunming, China"
Brazzaville,"Brazzaville, Congo"
"Henderson, NV","Henderson, NV, United States"
"Schenectady, NY","Schenectady, NY, United States"
Jyvaskyla,"Jyvaskyla, Finland"
Limassol,"Limassol, Cyprus"
Indore,"Indore, India"
Coimbatore,"Coimbatore, India"
Kelowna,"Kelowna, Canada"
Vang Vieng,"Vang Vieng, Laos"
"Worcester, MA","Worcester, MA, United States"
"Bend, OR","Bend, OR, United States"
Johor Bahru,"Johor Bahru, Malaysia"
Dubai,"Dubai, United Arab Emirates"
Porto Alegre,"Porto Alegre, Brazil"
"High Point, NC","High Point, NC, United States"
Bielefeld,"Bielefeld, Germany"
"Santa Fe, NM","Santa Fe, NM, United States"
Valparaíso,"Valparaíso, Chile"
"Bridgeton, MO","Bridgeton, MO, United States"
Antofagasta,"Antofagasta, Chile"
"Utica, NY","Utica, NY, United States"
"Naha, Okinawa","Naha, Okinawa, Japan"
Mendoza,"Mendoza, Argentina"
Dahab,"Dahab, Egypt"
Hohhot,"Hohhot, China"
Manaus,"Manaus, Brazil"
"Sarasota, FL","Sarasota, FL, United States"
Brighton,"Brighton, United Kingdom"
Kaliningrad,"Kaliningrad, Russia"
"Waukegan, IL","Waukegan, IL, United States"
Shenzhen,"Shenzhen, China"
"Anderson, IN","Anderson, IN, United States"
Bologna,"Bologna, Italy"
Guelph,"Guelph, Canada"
Trieste,"Trieste, Italy"
Kunshan,"Kunshan, China"
Durban,"Durban, South Africa"
Itapema,"Itapema, Brazil"
Srinagar,"Srinagar, India"
"Janesville, WI","Janesville, WI, United States"
Nantong,"Nantong, China"
Eindhoven,"Eindhoven, Netherlands"
Huaibei,"Huaibei, China"
"La Crosse, WI","La Crosse, WI, United States"
Douala,"Douala, Cameroon"
Novocherkassk,"Novocherkassk, Russia"
Changshu,"Changshu, China"
Puerto Viejo,"Puerto Viejo, Costa Rica"
"Idaho Falls, ID","Idaho Falls, ID, United States"
"Pueblo, CO","Pueblo, CO, United States"
"Salem, OR","Salem, OR, United States"
Sochi,"Sochi, Russia"
Algiers,"Algiers, Algeria"
Taichung,"Taichung, Taiwan"
Dededo,"Dededo, Guam"
Port of Spain,"Port of Spain, Trinidad and Tobago"
Campo Grande,"Campo Grande, Brazil"
Darmstadt,"Darmstadt, Germany"
Chandigarh,"Chandigarh, India"
"Virginia Beach, VA","Virginia Beach, VA, United States"
Ufa,"Ufa, Russia"
"Riverside, CA","Riverside, CA, United States"
Fukuoka,"Fukuoka, Japan"
Managua,"Managua, Nicaragua"
Ouagadougou,"Ouagadougou, Burkina Faso"
Kumasi,"Kumasi, Ghana"
"Hesperia, CA","Hesperia, CA, United States"
Lome,"Lome, Togo"
Port Harcourt,"Port Harcourt, Nigeria"
Urumqi,"Urumqi, China"
Kaduna,"Kaduna, Nigeria"
"Scottsdale, AZ","Scottsdale, AZ, United States"
San Pedro Sula,"San Pedro Sula, Honduras"
Rajkot,"Rajkot, India"
Xining,"Xining, China"
Yokohama,"Yokohama, Japan"
Wuxi,"Wuxi, China"
Baghdad,"Baghdad, Iraq"
Libreville,"Libreville, Gabon"
Sana'a,"Sana'a, Yemen"
Bridgetown,"Bridgetown, Barbados"
Funafuti,"Funafuti, Tuvalu"
Nagasaki,"Nagasaki, Japan"
"Incline Village, NV","Incline Village, NV, United States"
Banjul,"Banjul, Gambia"
Monaco,"Monaco, Monaco"
Avarua,"Avarua, Cook Islands"
Larnaca,"Larnaca, Cyprus"
Dammam,"Dammam, Saudi Arabia"
"Kauai, Hawaii","Kauai, Hawaii, United States"
Honiara,"Honiara, Solomon Islands"
Shenyang,"Shenyang, China"
Portsmouth,"Portsmouth, United Kingdom"
Geneva,"Geneva, Switzerland"
Caracas,"Caracas, Venezuela"
Conakry,"Conakry, Guinea"
Caye Caulker,"Caye Caulker, Belize"
Dortmund,"Dortmund, Germany"
Harbin,"Harbin, China"
Nuuk,"Nuuk, Greenland"
Belize City,"Belize City, Belize"
Abu Dhabi,"Abu Dhabi, United Arab Emirates"
"Temecula, CA","Temecula, CA, United States"
Gori,"Gori, Georgia"
Tsushima Island,"Tsushima Island, Japan"
"Joliet, IL","Joliet, IL, United States"
Saratov,"Saratov, Russia"
Jundiaí,"Jundiaí, Brazil"
Cheltenham,"Cheltenham, United Kingdom"
Nanjing,"Nanjing, China"
Aalborg,"Aalborg, Denmark"
Coventry,"Coventry, United Kingdom"
Oxford,"Oxford, United Kingdom"
"Anchorage, AK","Anchorage, AK, United States"
Hong Kong,"Hong Kong, Hong Kong"
Bergen,"Bergen, Norway"
Maseru,"Maseru, Lesotho"
Leuven,"Leuven, Belgium"
Vladivostok,"Vladivostok, Russia"
Salzburg,"Salzburg, Austria"
Sinuiju,"Sinuiju, North Korea"
Kobe,"Kobe, Japan"
Hama,"Hama, Syria"
Xiangtan,"Xiangtan, China"
Naypyidaw,"Naypyidaw, Myanmar"
Dushanbe,"Dushanbe, Tajikistan"
Okayama,"Okayama, Japan"
Medina,"Medina, Saudi Arabia"
Montpellier,"Montpellier, France"
Leeuwarden,"Leeuwarden, Netherlands"
"Monterey, CA","Monterey, CA, United States"
Tashkent,"Tashkent, Uzbekistan"
"Victorville, CA","Victorville, CA, United States"
"Mountain View, CA","Mountain View, CA, United States"
"Lincoln, NE","Lincoln, NE, United States"
"Indio, CA","Indio, CA, United States"
Lucca,"Lucca, Italy"
Cambridge,"Cambridge, United Kingdom"
Erbil,"Erbil, Kurdistan"
Haifa,"Haifa, Israel"
Windsor,"Windsor, Canada"
Ahmedabad,"Ahmedabad, India"
Bordeaux,"Bordeaux, France"
Beersheba,"Beersheba, Israel"
Mashhad,"Mashhad, Iran"
Zurich,"Zurich, Switzerland"
Breda,"Breda, Netherlands"
Hamamatsu,"Hamamatsu, Japan"
"Knoxville, TN","Knoxville, TN, United States"
"Okinawa City, Okinawa","Okinawa City, Okinawa, Japan"
Baoding,"Baoding, China"
Zhangjiagang,"Zhangjiagang, China"
Wenling,"Wenling, China"
Homs,"Homs, Syria"
Linyi,"Linyi, China"
"Reading, PA","Reading, PA, United States"
Verona,"Verona, Italy"
Mecca,"Mecca, Saudi Arabia"
Laayoune,"Laayoune, Western Sahara"
Phu Quoc,"Phu Quoc, Vietnam"
Juba,"Juba, South Sudan"
Tanchon,"Tanchon, North Korea"
Shiraz,"Shiraz, Iran"
Qinhuangdao,"Qinhuangdao, China"
Nagoya,"Nagoya, Japan"
Nouakchott,"Nouakchott, Mauritania"
Granada,"Granada, Spain"
Dusseldorf,"Dusseldorf, Germany"
San Ignacio,"San Ignacio, Belize"
Amalfi,"Amalfi, Italy"
Gibraltar,"Gibraltar, Gibraltar"
Victoria,"Victoria, Seychelles"
Rethymno,"Rethymno, Greece"
Mombasa,"Mombasa, Kenya"
Huzhou,"Huzhou, China"
"Abilene, TX","Abilene, TX, United States"
Fushun,"Fushun, China"
Changchun,"Changchun, China"
Hiroshima,"Hiroshima, Japan"
Marseille,"Marseille, France"
Xiamen,"Xiamen, China"
Trier,"Trier, Germany"
Isla Mujeres,"Isla Mujeres, Mexico"
"Daytona Beach, FL","Daytona Beach, FL, United States"
Boumerdas,"Boumerdas, Algeria"
Modena,"Modena, Italy"
Asmara,"Asmara, Eritrea"
Lelystad,"Lelystad, Netherlands"
Maputo,"Maputo, Mozambique"
Sapporo,"Sapporo, Japan"
"Bozeman, MT","Bozeman, MT, United States"
Tabriz,"Tabriz, Iran"
Dalian,"Dalian, China"
Konya,"Konya, Turkey"
St John's,"St John's, Antigua and Barbuda"
Ibiza,"Ibiza, Spain"
Kyoto,"Kyoto, Japan"
"Fort Myers, FL","Fort Myers, FL, United States"
"Kearney, NE","Kearney, NE, United States"
"Santa Maria, CA","Santa Maria, CA, United States"
Minca,"Minca, Colombia"
Beijing,"Beijing, China"
"Carlsbad, CA","Carlsbad, CA, United States"
Kazan,"Kazan, Russia"
"Casa Grande, AZ","Casa Grande, AZ, United States"
Maracay,"Maracay, Venezuela"
Mexicali,"Mexicali, Mexico"
Maracaibo,"Maracaibo, Venezuela"
Zhanjiang,"Zhanjiang, China"
"Odessa, TX","Odessa, TX, United States"
Onitsha,"Onitsha, Nigeria"
Zhangjiakou,"Zhangjiakou, China"
Zhangzhou,"Zhangzhou, China"
Cusco,"Cusco, Peru"
Bhopal,"Bhopal, India"
Rostov-on-Don,"Rostov-on-Don, Russia"
Yiwu,"Yiwu, China"
"Boulder, CO","Boulder, CO, United States"
"Lancaster, CA","Lancaster, CA, United States"
Zhuzhou,"Zhuzhou, China"
Weihai,"Weihai, China"
Ulaanbaatar,"Ulaanbaatar, Mongolia"
Wuhu,"Wuhu, China"
"Pocatello, ID","Pocatello, ID, United States"
Alexandria,"Alexandria, Egypt"
Omsk,"Omsk, Russia"
Obninsk,"Obninsk, Russia"
Changsha,"Changsha, China"
Jarabacoa,"Jarabacoa, Dominican Republic"
Rome,"Rome, Italy"
"Vineland, NJ","Vineland, NJ, United States"
Dar es Salaam,"Dar es Salaam, Tanzania"
Stanley,"Stanley, Falkland Islands"
"Lawrence, KS","Lawrence, KS, United States"
Kitakyushu,"Kitakyushu, Japan"
Hefei,"Hefei, China"
Hagatna,"Hagatna, Guam"
Tehran,"Tehran, Iran"
Zwolle,"Zwolle, Netherlands"
Guilin,"Guilin, China"
Alesund,"Alesund, Norway"
Rui'an,"Rui'an, China"
"Petaluma, CA","Petaluma, CA, United States"
Nanning,"Nanning, China"
Innsbruck,"Innsbruck, Austria"
Erlangen,"Erlangen, Germany"
Sihanoukville,"Sihanoukville, Cambodia"
Lianyungang,"Lianyungang, China"
Salento,"Salento, Colombia"
"Cheyenne, WY","Cheyenne, WY, United States"
"Galveston, TX","Galveston, TX, United States"
Ludhiana,"Ludhiana, India"
Rimini,"Rimini, Italy"
Santa Marta,"Santa Marta, Colombia"
McLeod Ganj,"McLeod Ganj, India"
Portimão,"Portimão, Portugal"
Zhongshan,"Zhongshan, China"
Wonsan,"Wonsan, North Korea"
Foshan,"Foshan, China"
Yichang,"Yichang, China"
Cardiff,"Cardiff, United Kingdom"
"Arrecife, Lanzarote","Arrecife, Lanzarote, Spain"
"Bellevue, NE","Bellevue, NE, United States"
Waterloo,"Waterloo, Canada"
Wenzhou,"Wenzhou, China"
Qom,"Qom, Iran"
"Murrieta, CA","Murrieta, CA, United States"
El Alto,"El Alto, Bolivia"
Cannes,"Cannes, France"
Yantai,"Yantai, China"
"Salem, MA","Salem, MA, United States"
Aarhus,"Aarhus, Denmark"
Samara,"Samara, Russia"
Aguascalientes,"Aguascalientes, Mexico"
Tomsk,"Tomsk, Russia"
Hangzhou,"Hangzhou, China"
King Edward Point,"King Edward Point, South Georgia and the South Sandwich Islands"
"Plantation, FL","Plantation, FL, United States"
Antananarivo,"Antananarivo, Madagascar"
Heidelberg,"Heidelberg, Germany"
"Palm Coast, FL","Palm Coast, FL, United States"
"Wichita Falls, TX","Wichita Falls, TX, United States"
Kananga,"Kananga, DR Congo"
Rovaniemi,"Rovaniemi, Finland"
Riyadh,"Riyadh, Saudi Arabia"
"Green Bay, WI","Green Bay, WI, United States"
Kinmen,"Kinmen, Taiwan"
Darwin,"Darwin, Australia"
Dhaka,"Dhaka, Bangladesh"
"Bonita Springs, FL","Bonita Springs, FL, United States"
Nicosia,"Nicosia, Cyprus"
Putian,"Putian, China"
"Oshkosh, WI","Oshkosh, WI, United States"
"Redding, CA","Redding, CA, United States"
Coimbra,"Coimbra, Portugal"
Juarez,"Juarez, Mexico"
Javea,"Javea, Spain"
Sheffield,"Sheffield, United Kingdom"
"Oceanside, CA","Oceanside, CA, United States"
"Palmdale, CA","Palmdale, CA, United States"
Yekaterinburg,"Yekaterinburg, Russia"
Tromso,"Tromso, Norway"
Nanchang,"Nanchang, China"
Krivoy-Rog,"Krivoy-Rog, Ukraine"
Lilongwe,"Lilongwe, Malawi"
Huainan,"Huainan, China"
Whistler,"Whistler, Canada"
Qingdao,"Qingdao, China"
"Manhattan, KS","Manhattan, KS, United States"
Sa Pa,"Sa Pa, Vietnam"
"St. George, UT","St. George, UT, United States"
Mandalay,"Mandalay, Myanmar"
Ningbo,"Ningbo, China"
Pristina,"Pristina, Kosovo"
Vientiane,"Vientiane, Laos"
"Hartford, CT","Hartford, CT, United States"
Almere,"Almere, Netherlands"
Praia,"Praia, Cape Verde"
Marbella,"Marbella, Spain"
"Ithaca, NY","Ithaca, NY, United States"
"Richmond, VA","Richmond, VA, United States"
Gothenburg,"Gothenburg, Sweden"
"Rochester, NY","Rochester, NY, United States"
Hagen,"Hagen, Germany"
Alicante,"Alicante, Spain"
"Ocala, FL","Ocala, FL, United States"
Tel Aviv,"Tel Aviv, Israel"
"Puerto del Rosario, Fuerteventura","Puerto del Rosario, Fuerteventura, Spain"
Batumi,"Batumi, Georgia"
Windhoek,"Windhoek, Namibia"
"Palm Bay, FL","Palm Bay, FL, United States"
"Sandpoint, ID","Sandpoint, ID, United States"
"Yakima, WA","Yakima, WA, United States"
Bogota,"Bogota, Colombia"
"New Haven, CT","New Haven, CT, United States"
"Oakland, CA","Oakland, CA, United States"
"Grand Island, NE","Grand Island, NE, United States"
Natal,"Natal, Brazil"
"Harlingen, TX","Harlingen, TX, United States"
Aberdeen,"Aberdeen, United Kingdom"
Curitiba,"Curitiba, Brazil"
Kolkata,"Kolkata, India"
Campinas,"Campinas, Brazil"
"Logan, UT","Logan, UT, United States"
Andorra la Vella,"Andorra la Vella, Andorra"
"Wichita, KS","Wichita, KS, United States"
Bandar Seri Begawan,"Bandar Seri Begawan, Brunei"
"North Little Rock, AR","North Little Rock, AR, United States"
"Yuma, AZ","Yuma, AZ, United States"
Patna,"Patna, India"
Tirupur,"Tirupur, India"
"College Station, TX","College Station, TX, United States"
Surat,"Surat, India"
"Manchester, NH","Manchester, NH, United States"
Salta,"Salta, Argentina"
Kharkiv,"Kharkiv, Ukraine"
Kollam,"Kollam, India"
"Fort Collins, CO","Fort Collins, CO, United States"
"Lynchburg, VA","Lynchburg, VA, United States"
Yaounde,"Yaounde, Cameroon"
"Weston, FL","Weston, FL, United States"
"Bedford, OH","Bedford, OH, United States"
Pasto,"Pasto, Colombia"
"Beacon, NY","Beacon, NY, United States"
Bocas del Toro,"Bocas del Toro, Panama"
"Longview, TX","Longview, TX, United States"
"Norfolk, VA","Norfolk, VA, United States"
Barrie,"Barrie, Canada"
"Bloomington, IN","Bloomington, IN, United States"
Toulouse,"Toulouse, France"
Cirebon,"Cirebon, Indonesia"
"Rocky Mount, NC","Rocky Mount, NC, United States"
San Sebastian,"San Sebastian, Spain"
"Helena, MT","Helena, MT, United States"
Huddersfield,"Huddersfield, United Kingdom"
Hof,"Hof, Germany"
"Temple, TX","Temple, TX, United States"
"Albuquerque, NM","Albuquerque, NM, United States"
"Cape Coral, FL","Cape Coral, FL, United States"
Ramallah,"Ramallah, Palestine"
Southampton,"Southampton, United Kingdom"
Bristol,"Bristol, United Kingdom"
Cartagena,"Cartagena, Colombia"
Kaunas,"Kaunas, Lithuania"
"Rockford, IL","Rockford, IL, United States"
Rishikesh,"Rishikesh, India"
"Grand Junction, CO","Grand Junction, CO, United States"
Ko Chang,"Ko Chang, Thailand"
Guiyang,"Guiyang, China"
"Modesto, CA","Modesto, CA, United States"
Cork,"Cork, Ireland"
Ivano-Frankivsk,"Ivano-Frankivsk, Ukraine"
Cordoba,"Cordoba, Spain"
Cairo,"Cairo, Egypt"
Mancora,"Mancora, Peru"
Fes,"Fes, Morocco"
Rotterdam,"Rotterdam, Netherlands"
"Dayton, OH","Dayton, OH, United States"
Salvador,"Salvador, Brazil"
Avellino,"Avellino, Italy"
"Portland, ME","Portland, ME, United States"
"Flagstaff, AZ","Flagstaff, AZ, United States"
Suzhou,"Suzhou, China"
Tunis,"Tunis, Tunisia"
Viña del Mar,"Viña del Mar, Chile"
Quanzhou,"Quanzhou, China"
"Enterprise, NV","Enterprise, NV, United States"
Chachapoyas,"Chachapoyas, Peru"
Chengdu,"Chengdu, China"
"Providence, RI","Providence, RI, United States"
Zunyi,"Zunyi, China"
"Greeley, CO","Greeley, CO, United States"
"Nashua, NH","Nashua, NH, United States"
"Lake Havasu City, AZ","Lake Havasu City, AZ, United States"
Ghent,"Ghent, Belgium"
Daegu,"Daegu, South Korea"
Fort McMurray,"Fort McMurray, Canada"
Kotor,"Kotor, Montenegro"
"Lawton, OK","Lawton, OK, United States"
Gwangju,"Gwangju, South Korea"
Mbuji-Mayi,"Mbuji-Mayi, DR Congo"
"Baltimore, MD","Baltimore, MD, United States"
Huambo,"Huambo, Angola"
York,"York, United Kingdom"
Kinshasa,"Kinshasa, DR Congo"
"Vista, CA","Vista, CA, United States"
Iquique,"Iquique, Chile"
"Elkhart, IN","Elkhart, IN, United States"
Macau,"Macau, China"
Panajachel,"Panajachel, Guatemala"
"Marysville, WA","Marysville, WA, United States"
Bern,"Bern, Switzerland"
Rennes,"Rennes, France"
Chongqing,"Chongqing, China"
Dili,"Dili, East Timor"
Uberlandia,"Uberlandia, Brazil"
Santa Teresa,"Santa Teresa, Costa Rica"
Guatemala City,"Guatemala City, Guatemala"
Shrewsbury,"Shrewsbury, United Kingdom"
Mar del Plata,"Mar del Plata, Argentina"
Cavtat,"Cavtat, Croatia"
Bremen,"Bremen, Germany"
Cabarete,"Cabarete, Dominican Republic"
Budva,"Budva, Montenegro"
La Paz,"La Paz, Bolivia"
Jiamusi,"Jiamusi, China"
Guangzhou,"Guangzhou, China"
"Philadelphia, PA","Philadelphia, PA, United States"
"Fairfax, VA","Fairfax, VA, United States"
Jiangmen,"Jiangmen, China"
Leiden,"Leiden, Netherlands"
"Wilmington, NC","Wilmington, NC, United States"
Dubrovnik,"Dubrovnik, Croatia"
Klaipeda,"Klaipeda, Lithuania"
Suwon,"Suwon, South Korea"
Shantou,"Shantou, China"
Yangshuo,"Yangshuo, China"
"Flint, MI","Flint, MI, United States"
San Cristóbal de las Casas,"San Cristóbal de las Casas, Mexico"
Reading,"Reading, United Kingdom"
"St. Cloud, MN","St. Cloud, MN, United States"
Volgograd,"Volgograd, Russia"
"Columbia, MO","Columbia, MO, United States"
Kampala,"Kampala, Uganda"
La Serena,"La Serena, Chile"
Lisboa,"Lisbon, Portugal"
Ciudad de México,"Mexico City, Mexico"
Belgrado,"Belgrade, Serbia"
Berlina,"Berlin, Germany"
Praga,"Prague, Czechia"
Estanbul,"Istanbul, Turkey"
Bangalore,"Bengaluru, India"
Ciudad del Cabo,"Cape Town, South Africa"
Singapur,"Singapore, Singapore"
Londres,"London, United Kingdom"
Moscú,"Moscow, Russia"
Katmandú,"Kathmandu, Nepal"
Sofía,"Sofia, Bulgaria"
San Petersburgo,"Saint Petersburg, Russia"
Sao Paulo,"São Paulo, Brazil"
Seúl,"Seoul, South Korea"
Estocolmo,"Stockholm, Sweden"
Varsovia,"Warsaw, Poland"
Edimburgo,"Edinburgh, United Kingdom"
Cracovia,"Kraków, Poland"
División,"Split, Croatia"
"Las Palmas, Islas Canarias","Las Palmas, Canary Islands, Spain"
"Ciudad de Nueva York, NY","New York City, NY, United States"
"Nueva Orleans, LA","New Orleans, LA, United States"
"Los Ángeles, California","Los Angeles, CA, United States"
Bucarest,"Bucharest, Romania"
Ciudad de Ho Chi Minh,"Ho Chi Minh City, Vietnam"
Liubliana,"Ljubljana, Slovenia"
Viena,"Vienna, Austria"
Llevar a la fuerza,"Shanghai, China"
Ir a,"Goa, India"
Atenas,"Athens, Greece"
"Atlanta, Georgia","Atlanta, GA, United States"
Dublín,"Dublin, Ireland"
Florianópolis,"Florianopolis, Brazil"
Isla Jeju,"Jeju Island, South Korea"
La Habana,"Havana, Cuba"
"Tenerife, Islas Canarias","Tenerife, Canary Islands, Spain"
Tallin,"Tallinn, Estonia"
Cancún,"Cancun, Mexico"
Sevilla,"Seville, Spain"
"Miami, Florida","Miami, FL, United States"
La Unión,"La Union, Philippines"
Reikiavik,"Reykjavik, Iceland"
Colonia,"Cologne, Germany"
Copenhague,"Copenhagen, Denmark"
"Móvil, AL","Mobile, AL, United States"
"Albany, Oregón","Albany, OR, United States"
París,"Paris, France"
Adelaida,"Adelaide, Australia"
Johannesburgo,"Johannesburg, South Africa"
"Fayetteville, Carolina del Norte","Fayetteville, NC, United States"
Dresde,"Dresden, Germany"
Puerto Elizabeth,"Port Elizabeth, South Africa"
"Tulsa, de acuerdo","Tulsa, OK, United States"
Mérida,"Merida, Mexico"
Querétaro,"Queretaro, Mexico"
Islas Galápagos,"Galapagos Islands, Ecuador"
Cáscara,"Hull, United Kingdom"
Lago Balaton,"Lake Balaton, Hungary"
Ciudad de Benin,"Benin City, Nigeria"
Hamburgo,"Hamburg, Germany"
"Burlington, Carolina del Norte","Burlington, NC, United States"
Tokio,"Tokyo, Japan"
Ereván,"Yerevan, Armenia"
"Greensboro, Carolina del Norte","Greensboro, NC, United States"
Génova,"Genoa, Italy"
"Indianápolis, IN","Indianapolis, IN, United States"
Tánger,"Tangier, Morocco"
"Belén, PA","Bethlehem, PA, United States"
San Jose,"San José, Costa Rica"
Padua,"Padova, Italy"
Aquisgrán,"Aachen, Germany"
Tesalónica,"Thessaloniki, Greece"
Masculino,"Male, Maldives"
Bahía de Montego,"Montego Bay, Jamaica"
Marrakech,"Marrakesh, Morocco"
Bañera,"Bath, United Kingdom"
Córdoba,"Cordoba, Argentina"
Jacarta,"Jakarta, Indonesia"
"Raleigh, Carolina del Norte","Raleigh, NC, United States"
"San José, CA","San Jose, CA, United States"
Trípoli,"Tripoli, Libya"
Basora,"Basra, Iraq"
"Ajaccio, Córcega","Ajaccio, Corsica, France"
Mogadisio,"Mogadishu, Somalia"
Damasco,"Damascus, Syria"
Pimentón,"Cayenne, French Guiana"
Bengasi,"Benghazi, Libya"
Lausana,"Lausanne, Switzerland"
