City,Country,City-Country_EN,City_ES,City-Country_ES,Other,Other_ES
Constanta,Romania,"Constanta, Romania",Constanta,"Constanta, Rumania",Constanta,Constanta
Aurangabad,India,"Aurangabad, India",Aurangabad,"Aurangabad, India",Aurangabad,Aurangabad
Rio de Janeiro,Brazil,"Rio de Janeiro, Brazil",Rio de Janeiro,"Rio de Janeiro, Brasil",Rio de Janeiro,Rio de Janeiro
Tartu,Estonia,"Tartu, Estonia",Tartu,"Tartu, Estonia",Tartu,Tartu
Helsinki,Finland,"Helsinki, Finland",Helsinki,"Helsinki, Finlandia",Helsinki,Helsinki
"Kokomo, IN",United States,"Kokomo, IN, United States","Kokomo, IN","Kokomo, IN, Estados Unidos",Kokomo,Kokomo
"Columbus, OH",United States,"Columbus, OH, United States","Columbus, OH","Columbus, OH, Estados Unidos",Columbus,Columbus
"Des Moines, IA",United States,"Des Moines, IA, United States","Des Moines, IA","Des Moines, IA, Estados Unidos",Des Moines,Des Moines
Hull,United Kingdom,"Hull, United Kingdom",Cáscara,"Hull, Reino Unido",Hull,Cáscara
"Sanur, Bali",Indonesia,"Sanur, Bali, Indonesia","Sanur, Bali","Sanur, Bali, Indonesia",Sanur,Sanur
"Kennewick, WA",United States,"Kennewick, WA, United States","Kennewick, WA","Kennewick, WA, Estados Unidos",Kennewick,Kennewick
Georgetown,Guyana,"Georgetown, Guyana",Georgetown,"Georgetown, Guyana",Georgetown,Georgetown
Varanasi,India,"Varanasi, India",Varanasi,"Varanasi, India",Varanasi,Varanasi
"Bakersfield, CA",United States,"Bakersfield, CA, United States","Bakersfield, CA","Bakersfield, CA, Estados Unidos",Bakersfield,Bakersfield
Osijek,Croatia,"Osijek, Croatia",Osijek,"Osijek, Croacia",Osijek,Osijek
Thrissur,India,"Thrissur, India",Thrissur,"Thrissur, India",Thrissur,Thrissur
"Jacksonville, FL",United States,"Jacksonville, FL, United States","Jacksonville, FL","Jacksonville, FL, Estados Unidos",Jacksonville,Jacksonville
Ko Lanta,Thailand,"Ko Lanta, Thailand",Ko Lanta,"Ko Lanta, Tailandia",Ko Lanta,Ko Lanta
Amsterdam,Netherlands,"Amsterdam, Netherlands",Amsterdam,"Amsterdam, Holanda",Amsterdam,Amsterdam
Malmö,Sweden,"Malmö, Sweden",Malmö,"Malmö, Suecia",Malmö,Malmö
Fortaleza,Brazil,"Fortaleza, Brazil",Fortaleza,"Fortaleza, Brasil",Fortaleza,Fortaleza
"Rogers, AR",United States,"Rogers, AR, United States","Rogers, AR","Rogers, AR, Estados Unidos",Rogers,Rogers
Pisa,Italy,"Pisa, Italy",Pisa,"Pisa, Italia",Pisa,Pisa
"Charlotte, NC",United States,"Charlotte, NC, United States","Charlotte, NC","Charlotte, NC, Estados Unidos",Charlotte,Charlotte
"Louisville, KY",United States,"Louisville, KY, United States","Louisville, KY","Louisville, Kentucky, Estados Unidos",Louisville,Louisville
Durg,India,"Durg, India",Durg,"Durg, India",Durg,Durg
Cabo San Lucas,Mexico,"Cabo San Lucas, Mexico",Cabo San Lucas,"Cabo San Lucas, México",Cabo San Lucas,Cabo San Lucas
"San Francisco, CA",United States,"San Francisco, CA, United States","San Francisco, CA","San Francisco, CA, Estados Unidos",San Francisco,San Francisco
Madurai,India,"Madurai, India",Madurai,"Madurai, India",Madurai,Madurai
"Jonesboro, AR",United States,"Jonesboro, AR, United States","Jonesboro, AR","Jonesboro, AR, Estados Unidos",Jonesboro,Jonesboro
Nis,Serbia,"Nis, Serbia",Nis,"Nis, Serbia",Nis,Nis
Cairns,Australia,"Cairns, Australia",Cairns,"Cairns, Australia",Cairns,Cairns
Lake Balaton,Hungary,"Lake Balaton, Hungary",Lago Balaton,"Lago Balaton, Hungría",Lake Balaton,Lago Balaton
Benin City,Nigeria,"Benin City, Nigeria",Ciudad de Benin,"Benin City, Nigeria",Benin City,Ciudad de Benin
Hamburg,Germany,"Hamburg, Germany",Hamburgo,"Hamburgo, Alemania",Hamburg,Hamburgo
La Plata,Argentina,"La Plata, Argentina",La Plata,"La Plata, Argentina",La Plata,La Plata
"Eugene, OR",United States,"Eugene, OR, United States","Eugene, OR","Eugene, OR, Estados Unidos",Eugene,Eugene
Bari,Italy,"Bari, Italy",Bari,"Bari, Italia",Bari,Bari
Zadar,Croatia,"Zadar, Croatia",Zadar,"Zadar, Croacia",Zadar,Zadar
Nairobi,Kenya,"Nairobi, Kenya",Nairobi,"Nairobi, Kenia",Nairobi,Nairobi
"Burlington, NC",United States,"Burlington, NC, United States","Burlington, Carolina del Norte","Burlington, NC, Estados Unidos",Burlington,Burlington
"Grand Rapids, MI",United States,"Grand Rapids, MI, United States","Grand Rapids, MI","Grand Rapids, MI, Estados Unidos",Grand Rapids,Grand Rapids
Krabi,Thailand,"Krabi, Thailand",Krabi,"Krabi, Tailandia",Krabi,Krabi
"Cedar Rapids, IA",United States,"Cedar Rapids, IA, United States","Cedar Rapids, IA","Cedar Rapids, IA, Estados Unidos",Cedar Rapids,Cedar Rapids
Jodhpur,India,"Jodhpur, India",Jodhpur,"Jodhpur, India",Jodhpur,Jodhpur
Tokyo,Japan,"Tokyo, Japan",Tokio,"Tokio, Japón",Tokyo,Tokio
"Little Rock, AR",United States,"Little Rock, AR, United States","Little Rock, AR","Little Rock, AR, Estados Unidos",Little Rock,Little Rock
"Fargo, ND",United States,"Fargo, ND, United States","Fargo, ND","Fargo, ND, Estados Unidos",Fargo,Fargo
Yerevan,Armenia,"Yerevan, Armenia",Ereván,"Ereván, Armenia",Yerevan,Ereván
"Lake Charles, LA",United States,"Lake Charles, LA, United States","Lake Charles, LA","Lake Charles, LA, Estados Unidos",Lake Charles,Lake Charles
"Greensboro, NC",United States,"Greensboro, NC, United States","Greensboro, Carolina del Norte","Greensboro, NC, Estados Unidos",Greensboro,Greensboro
"Owensboro, KY",United States,"Owensboro, KY, United States","Owensboro, KY","Owensboro, KY, Estados Unidos",Owensboro,Owensboro
Da Lat,Vietnam,"Da Lat, Vietnam",Da Lat,"Da Lat, Vietnam",Da Lat,Da Lat
Genoa,Italy,"Genoa, Italy",Génova,"Génova, Italia",Genoa,Génova
Santiago,Chile,"Santiago, Chile",Santiago,"Santiago, Chile",Santiago,Santiago
"Conroe, TX",United States,"Conroe, TX, United States","Conroe, TX","Conroe, TX, Estados Unidos",Conroe,Conroe
Giza,Egypt,"Giza, Egypt",Giza,"Giza, Egipto",Giza,Giza
Riga,Latvia,"Riga, Latvia",Riga,"Riga, Letonia",Riga,Riga
"Tyler, TX",United States,"Tyler, TX, United States","Tyler, TX","Tyler, TX, Estados Unidos",Tyler,Tyler
"Detroit, MI",United States,"Detroit, MI, United States","Detroit, MI","Detroit, MI, Estados Unidos",Detroit,Detroit
"Indianapolis, IN",United States,"Indianapolis, IN, United States","Indianápolis, IN","Indianapolis, IN, Estados Unidos",Indianapolis,Indianapolis
Victoria,Canada,"Victoria, Canada",Victoria,"Victoria, Canadá",Victoria,Victoria
Tangier,Morocco,"Tangier, Morocco",Tánger,"Tangier, Marruecos",Tangier,Tánger
Aligarh,India,"Aligarh, India",Aligarh,"Aligarh, India",Aligarh,Aligarh
Pretoria,South Africa,"Pretoria, South Africa",Pretoria,"Pretoria, Sudáfrica",Pretoria,Pretoria
Frankfurt,Germany,"Frankfurt, Germany",Frankfurt,"Frankfurt, Alemania",Frankfurt,Frankfurt
"Bethlehem, PA",United States,"Bethlehem, PA, United States","Belén, PA","Bethlehem, PA, Estados Unidos",Bethlehem,Bethlehem
San José,Costa Rica,"San José, Costa Rica",San Jose,"San José, Costa Rica",San José,San Jose
Gaziantep,Turkey,"Gaziantep, Turkey",Gaziantep,"Gaziantep, Turquía",Gaziantep,Gaziantep
Nanaimo,Canada,"Nanaimo, Canada",Nanaimo,"Nanaimo, Canadá",Nanaimo,Nanaimo
Katowice,Poland,"Katowice, Poland",Katowice,"Katowice, Polonia",Katowice,Katowice
"Bowling Green, KY",United States,"Bowling Green, KY, United States","Bowling Green, KY","Bowling Green, KY, Estados Unidos",Bowling Green,Bowling Green
"Lubbock, TX",United States,"Lubbock, TX, United States","Lubbock, TX","Lubbock, TX, Estados Unidos",Lubbock,Lubbock
"Eau Claire, WI",United States,"Eau Claire, WI, United States","Eau Claire, WI","Eau Claire, WI, Estados Unidos",Eau Claire,Eau Claire
"Killeen, TX",United States,"Killeen, TX, United States","Killeen, TX","Killeen, TX, Estados Unidos",Killeen,Killeen
"Melbourne, FL",United States,"Melbourne, FL, United States","Melbourne, FL","Melbourne, FL, Estados Unidos",Melbourne,Melbourne
"Edinburg, TX",United States,"Edinburg, TX, United States","Edinburg, TX","Edinburg, TX, Estados Unidos",Edinburg,Edinburg
Intag Valley,Ecuador,"Intag Valley, Ecuador",Intag Valley,"Intag Valley, Ecuador",Intag Valley,Intag Valley
"Oklahoma City, OK",United States,"Oklahoma City, OK, United States","Oklahoma City, OK","Oklahoma City, OK, Estados Unidos",Oklahoma City,Oklahoma City
"Sacramento, CA",United States,"Sacramento, CA, United States","Sacramento, CA","Sacramento, CA, Estados Unidos",Sacramento,Sacramento
Padova,Italy,"Padova, Italy",Padua,"Padua, Italia",Padova,Padua
"Richland, WA",United States,"Richland, WA, United States","Richland, WA","Richland, WA, Estados Unidos",Richland,Richland
Aachen,Germany,"Aachen, Germany",Aquisgrán,"Aquisgrán, Alemania",Aachen,Aquisgrán
"Montgomery, AL",United States,"Montgomery, AL, United States","Montgomery, AL","Montgomery, AL, Estados Unidos",Montgomery,Montgomery
"Amarillo, TX",United States,"Amarillo, TX, United States","Amarillo, TX","Amarillo, TX, Estados Unidos",Amarillo,Amarillo
"Las Vegas, NV",United States,"Las Vegas, NV, United States","Las Vegas, NV","Las Vegas, NV, Estados Unidos",Las Vegas,Las Vegas
Ibadan,Nigeria,"Ibadan, Nigeria",Ibadan,"Ibadan, Nigeria",Ibadan,Ibadan
Sliema,Malta,"Sliema, Malta",Sliema,"Sliema, Malta",Sliema,Sliema
Perth,Australia,"Perth, Australia",Perth,"Perth, Australia",Perth,Perth
"Amed, Bali",Indonesia,"Amed, Bali, Indonesia","Amed, Bali","Amed, Bali, Indonesia",Amed,Amed
San Miguel de Allende,Mexico,"San Miguel de Allende, Mexico",San Miguel de Allende,"San Miguel de Allende, México",San Miguel de Allende,San Miguel de Allende
"Stockton, CA",United States,"Stockton, CA, United States","Stockton, CA","Stockton, CA, Estados Unidos",Stockton,Stockton
Thessaloniki,Greece,"Thessaloniki, Greece",Tesalónica,"Salónica, Grecia",Thessaloniki,Tesalónica
Ko Phi Phi,Thailand,"Ko Phi Phi, Thailand",Ko Phi Phi,"Ko Phi Phi, Tailandia",Ko Phi Phi,Ko Phi Phi
Jaipur,India,"Jaipur, India",Jaipur,"Jaipur, India",Jaipur,Jaipur
"Macon, GA",United States,"Macon, GA, United States","Macon, GA","Macon, GA, Estados Unidos",Macon,Macon
Ao Nang,Thailand,"Ao Nang, Thailand",Ao Nang,"Ao Nang, Tailandia",Ao Nang,Ao Nang
"Bossier City, LA",United States,"Bossier City, LA, United States","Bossier City, LA","Bossier City, LA, Estados Unidos",Bossier City,Bossier City
"Denpasar, Bali",Indonesia,"Denpasar, Bali, Indonesia","Denpasar, Bali","Denpasar, Bali, Indonesia",Denpasar,Denpasar
Luxor,Egypt,"Luxor, Egypt",Luxor,"Luxor, Egipto",Luxor,Luxor
Vasai,India,"Vasai, India",Vasai,"Vasai, India",Vasai,Vasai
"Normal, IL",United States,"Normal, IL, United States","Normal, IL","Normal, IL, Estados Unidos",Normal,Normal
"Bloomington, IL",United States,"Bloomington, IL, United States","Bloomington, IL","Bloomington, IL, Estados Unidos",Bloomington,Bloomington
"Kingsport, TN",United States,"Kingsport, TN, United States","Kingsport, TN","Kingsport, TN, Estados Unidos",Kingsport,Kingsport
"Memphis, TN",United States,"Memphis, TN, United States","Memphis, TN","Memphis, TN, Estados Unidos",Memphis,Memphis
"Minot, ND",United States,"Minot, ND, United States","Minot, ND","Minot, ND, Estados Unidos",Minot,Minot
"Fort Wayne, IN",United States,"Fort Wayne, IN, United States","Fort Wayne, IN","Fort Wayne, IN, Estados Unidos",Fort Wayne,Fort Wayne
"Phoenix, AZ",United States,"Phoenix, AZ, United States","Phoenix, AZ","Phoenix, AZ, Estados Unidos",Phoenix,Phoenix
Male,Maldives,"Male, Maldives",Masculino,"Male, Maldivas",Male,Masculino
San Juan del Sur,Nicaragua,"San Juan del Sur, Nicaragua",San Juan del Sur,"San Juan del Sur, Nicaragua",San Juan del Sur,San Juan del Sur
Minsk,Belarus,"Minsk, Belarus",Minsk,"Minsk, Bielorrusia",Minsk,Minsk
Wollongong,Australia,"Wollongong, Australia",Wollongong,"Wollongong, Australia",Wollongong,Wollongong
Podgorica,Montenegro,"Podgorica, Montenegro",Podgorica,"Podgorica, Montenegro",Podgorica,Podgorica
Puebla,Mexico,"Puebla, Mexico",Puebla,"Puebla, México",Puebla,Puebla
Udon Thani,Thailand,"Udon Thani, Thailand",Udon Thani,"Udon Thani, Tailandia",Udon Thani,Udon Thani
Vijayawada,India,"Vijayawada, India",Vijayawada,"Vijayawada, India",Vijayawada,Vijayawada
Montego Bay,Jamaica,"Montego Bay, Jamaica",Bahía de Montego,"Montego Bay, Jamaica",Montego Bay,Bahía de Montego
"Champaign, IL",United States,"Champaign, IL, United States","Champaign, IL","Champaign, IL, Estados Unidos",Champaign,Champaign
Aveiro,Portugal,"Aveiro, Portugal",Aveiro,"Aveiro, Portugal",Aveiro,Aveiro
Nuremberg,Germany,"Nuremberg, Germany",Nuremberg,"Nuremberg, Alemania",Nuremberg,Nuremberg
"Ogden, UT",United States,"Ogden, UT, United States","Ogden, UT","Ogden, UT, Estados Unidos",Ogden,Ogden
"Tallahassee, FL",United States,"Tallahassee, FL, United States","Tallahassee, FL","Tallahassee, FL, Estados Unidos",Tallahassee,Tallahassee
Birmingham,United Kingdom,"Birmingham, United Kingdom",Birmingham,"Birmingham, Reino Unido",Birmingham,Birmingham
"Auburn, AL",United States,"Auburn, AL, United States","Auburn, AL","Auburn, AL, Estados Unidos",Auburn,Auburn
Belem,Brazil,"Belem, Brazil",Belem,"Belem, Brasil",Belem,Belem
Brisbane,Australia,"Brisbane, Australia",Brisbane,"Brisbane, Australia",Brisbane,Brisbane
Krasnodar,Russia,"Krasnodar, Russia",Krasnodar,"Krasnodar, Rusia",Krasnodar,Krasnodar
Alanya,Turkey,"Alanya, Turkey",Alanya,"Alanya, Turquía",Alanya,Alanya
"Bismarck, ND",United States,"Bismarck, ND, United States","Bismarck, ND","Bismarck, ND, Estados Unidos",Bismarck,Bismarck
Tirana,Albania,"Tirana, Albania",Tirana,"Tirana, Albania",Tirana,Tirana
"Shreveport, LA",United States,"Shreveport, LA, United States","Shreveport, LA","Shreveport, LA, Estados Unidos",Shreveport,Shreveport
"Warner Robins, GA",United States,"Warner Robins, GA, United States","Warner Robins, GA","Warner Robins, GA, Estados Unidos",Warner Robins,Warner Robins
"Muncie, IN",United States,"Muncie, IN, United States","Muncie, IN","Muncie, IN, Estados Unidos",Muncie,Muncie
Marrakesh,Morocco,"Marrakesh, Morocco",Marrakech,"Marrakesh, Marruecos",Marrakesh,Marrakech
"Corpus Christi, TX",United States,"Corpus Christi, TX, United States","Corpus Christi, TX","Corpus Christi, TX, Estados Unidos",Corpus Christi,Corpus Christi
"Port Arthur, TX",United States,"Port Arthur, TX, United States","Port Arthur, TX","Port Arthur, TX, Estados Unidos",Port Arthur,Port Arthur
Bath,United Kingdom,"Bath, United Kingdom",Bañera,"Bath, Reino Unido",Bath,Bañera
"Conway, AR",United States,"Conway, AR, United States","Conway, AR","Conway, AR, Estados Unidos",Conway,Conway
"Chattanooga, TN",United States,"Chattanooga, TN, United States","Chattanooga, TN","Chattanooga, TN, Estados Unidos",Chattanooga,Chattanooga
Bodrum,Turkey,"Bodrum, Turkey",Bodrum,"Bodrum, Turquía",Bodrum,Bodrum
Paphos,Cyprus,"Paphos, Cyprus",Paphos,"Paphos, Chipre",Paphos,Paphos
Cordoba,Argentina,"Cordoba, Argentina",Córdoba,"Córdoba, Argentina",Cordoba,Córdoba
Kochi,India,"Kochi, India",Kochi,"Kochi, India",Kochi,Kochi
"Houston, TX",United States,"Houston, TX, United States","Houston, TX","Houston, TX, Estados Unidos",Houston,Houston
Gili Air,Indonesia,"Gili Air, Indonesia",Gili Air,"Gili Air, Indonesia",Gili Air,Gili Air
Queenstown,New Zealand,"Queenstown, New Zealand",Queenstown,"Queenstown, Nueva Zelanda",Queenstown,Queenstown
"Hoover, AL",United States,"Hoover, AL, United States","Hoover, AL","Hoover, AL, Estados Unidos",Hoover,Hoover
"Pekanbaru, Sumatra",Indonesia,"Pekanbaru, Sumatra, Indonesia","Pekanbaru, Sumatra","Pekanbaru, Sumatra, Indonesia",Pekanbaru,Pekanbaru
"Syracuse, NY",United States,"Syracuse, NY, United States","Syracuse, NY","Syracuse, NY, Estados Unidos",Syracuse,Syracuse
"Terre Haute, IN",United States,"Terre Haute, IN, United States","Terre Haute, IN","Terre Haute, IN, Estados Unidos",Terre Haute,Terre Haute
Surabaya,Indonesia,"Surabaya, Indonesia",Surabaya,"Surabaya, Indonesia",Surabaya,Surabaya
Jakarta,Indonesia,"Jakarta, Indonesia",Jacarta,"Yakarta, Indonesia",Jakarta,Jacarta
"Raleigh, NC",United States,"Raleigh, NC, United States","Raleigh, Carolina del Norte","Raleigh, NC, Estados Unidos",Raleigh,Raleigh
Calgary,Canada,"Calgary, Canada",Calgary,"Calgary, Canadá",Calgary,Calgary
Ranchi,India,"Ranchi, India",Ranchi,"Ranchi, India",Ranchi,Ranchi
"San Jose, CA",United States,"San Jose, CA, United States","San José, CA","San José, CA, Estados Unidos",San Jose,San Jose
"Canton, OH",United States,"Canton, OH, United States","Canton, OH","Canton, OH, Estados Unidos",Canton,Canton
N'Djamena,Chad,"N'Djamena, Chad",N'Djamena,"N'Djamena, Chad",N'Djamena,N'Djamena
Mitsurin,Brazil,"Mitsurin, Brazil",Mitsurin,"Mitsurin, Brasil",Mitsurin,Mitsurin
Tripoli,Libya,"Tripoli, Libya",Trípoli,"Trípoli, Libia",Tripoli,Trípoli
Djibouti,Djibouti,"Djibouti, Djibouti",Djibouti,"Djibouti, Djibouti",Djibouti,Djibouti
Nouméa,New Caledonia,"Nouméa, New Caledonia",Nouméa,"Nouméa, Nueva Caledonia",Nouméa,Nouméa
Basra,Iraq,"Basra, Iraq",Basora,"Basora, Irak",Basra,Basora
Sargodha,Pakistan,"Sargodha, Pakistan",Sargodha,"Sargodha, Pakistán",Sargodha,Sargodha
Monrovia,Liberia,"Monrovia, Liberia",Monrovia,"Monrovia, Liberia",Monrovia,Monrovia
"Ajaccio, Corsica",France,"Ajaccio, Corsica, France","Ajaccio, Córcega","Ajaccio, Córcega, Francia",Ajaccio,Ajaccio
Yangzhou,China,"Yangzhou, China",Yangzhou,"Yangzhou, China",Yangzhou,Yangzhou
Bangui,Central African Republic,"Bangui, Central African Republic",Bangui,"Bangui, República Centroafricana",Bangui,Bangui
Bahawalpur,Pakistan,"Bahawalpur, Pakistan",Bahawalpur,"Bahawalpur, Pakistán",Bahawalpur,Bahawalpur
Anápolis,Brazil,"Anápolis, Brazil",Anápolis,"Anápolis, Brasil",Anápolis,Anápolis
Mogadishu,Somalia,"Mogadishu, Somalia",Mogadisio,"Mogadishu, Somalia",Mogadishu,Mogadisio
Kabul,Afghanistan,"Kabul, Afghanistan",Kabul,"Kabul, Afganistán",Kabul,Kabul
Isfahan,Iran,"Isfahan, Iran",Isfahan,"Isfahan, Irán",Isfahan,Isfahan
Damascus,Syria,"Damascus, Syria",Damasco,"Damasco, Siria",Damascus,Damasco
Kralendijk,Bonaire,"Kralendijk, Bonaire",Kralendijk,"Kralendijk, Bonaire",Kralendijk,Kralendijk
Peshawar,Pakistan,"Peshawar, Pakistan",Peshawar,"Peshawar, Pakistán",Peshawar,Peshawar
Cayenne,French Guiana,"Cayenne, French Guiana",Pimentón,"Cayena, Guayana Francesa",Cayenne,Pimentón
Tengzhou,China,"Tengzhou, China",Tengzhou,"Tengzhou, China",Tengzhou,Tengzhou
Kirkuk,Kurdistan,"Kirkuk, Kurdistan",Kirkuk,"Kirkuk, Kurdistán",Kirkuk,Kirkuk
Zaria,Nigeria,"Zaria, Nigeria",Zaria,"Zaria, Nigeria",Zaria,Zaria
Quetta,Pakistan,"Quetta, Pakistan",Quetta,"Quetta, Pakistán",Quetta,Quetta
Sialkot,Pakistan,"Sialkot, Pakistan",Sialkot,"Sialkot, Pakistán",Sialkot,Sialkot
Benghazi,Libya,"Benghazi, Libya",Bengasi,"Bengasi, Libia",Benghazi,Bengasi
St. Gallen,Switzerland,"St. Gallen, Switzerland",St. Gallen,"S t. Gallen, Suiza ",St. Gallen,St. Gallen
Interlaken,Switzerland,"Interlaken, Switzerland",Interlaken,"Interlaken, Suiza",Interlaken,Interlaken
"Apple Valley, CA",United States,"Apple Valley, CA, United States","Apple Valley, CA","Apple Valley, CA, Estados Unidos",Apple Valley,Apple Valley
Bamako,Mali,"Bamako, Mali",Bamako,"Bamako, Malí",Bamako,Bamako
Ahvaz,Iran,"Ahvaz, Iran",Ahvaz,"Ahvaz, Irán",Ahvaz,Ahvaz
Annecy,France,"Annecy, France",Annecy,"Annecy, Francia",Annecy,Annecy
Rouen,France,"Rouen, France",Rouen,"Rouen, Francia",Rouen,Rouen
Handan,China,"Handan, China",Handan,"Handan, China",Handan,Handan
Xiangyang,China,"Xiangyang, China",Xiangyang,"Xiangyang, China",Xiangyang,Xiangyang
"Elgin, IL",United States,"Elgin, IL, United States","Elgin, IL","Elgin, IL, Estados Unidos",Elgin,Elgin
Cochabamba,Bolivia,"Cochabamba, Bolivia",Cochabamba,"Cochabamba, Bolivia",Cochabamba,Cochabamba
Lausanne,Switzerland,"Lausanne, Switzerland",Lausana,"Lausana, Suiza",Lausanne,Lausana
Mosul,Iraq,"Mosul, Iraq",Mosul,"Mosul, Irak",Mosul,Mosul
A Coruna,Spain,"A Coruna, Spain",A Coruña,"A Coruña, España",A Coruna,A Coruña
Pyongyang,North Korea,"Pyongyang, North Korea",Pyongyang,"Pyongyang, Corea del Norte",Pyongyang,Pyongyang
Soweto,South Africa,"Soweto, South Africa",Soweto,"Soweto, Sudáfrica",Soweto,Soweto
Turin,Italy,"Turin, Italy",Turín,"Turín, Italia",Turin,Turín
Panama City,Panama,"Panama City, Panama",Ciudad de Panama,"Ciudad de Panamá, Panamá",Panama City,Ciudad de Panama
"Cathedral City, CA",United States,"Cathedral City, CA, United States","Cathedral City, CA","Cathedral City, CA, Estados Unidos",Cathedral City,Cathedral City
Punta Cana,Dominican Republic,"Punta Cana, Dominican Republic",Punta Cana,"Punta Cana, República Dominicana",Punta Cana,Punta Cana
Gujranwala,Pakistan,"Gujranwala, Pakistan",Gujranwala,"Gujranwala, Pakistán",Gujranwala,Gujranwala
Xuzhou,China,"Xuzhou, China",Xuzhou,"Xuzhou, China",Xuzhou,Xuzhou
Faisalabad,Pakistan,"Faisalabad, Pakistan",Faisalabad,"Faisalabad, Pakistán",Faisalabad,Faisalabad
Avignon,France,"Avignon, France",Aviñón,"Avignon, Francia",Avignon,Aviñón
Biarritz,France,"Biarritz, France",Biarritz,"Biarritz, Francia",Biarritz,Biarritz
Zhoukou,China,"Zhoukou, China",Zhoukou,"Zhoukou, China",Zhoukou,Zhoukou
Dorobō,Japan,"Dorobō, Japan",Dorobō,"Dorobō, Japón",Dorobō,Dorobō
Datong,China,"Datong, China",Datong,"Datong, China",Datong,Datong
Charlotte Amalie,United States Virgin Islands,"Charlotte Amalie, United States Virgin Islands",Charlotte Amalie,"Charlotte Amalie, Islas Vírgenes de los Estados Unidos",Charlotte Amalie,Charlotte Amalie
Kagoshima,Japan,"Kagoshima, Japan",Kagoshima,"Kagoshima, Japón",Kagoshima,Kagoshima
Jeddah,Saudi Arabia,"Jeddah, Saudi Arabia",Jeddah,"Jeddah, Arabia Saudí",Jeddah,Jeddah
Philipsburg,Sint Maarten,"Philipsburg, Sint Maarten",Philipsburg,"Philipsburg, Sint Maarten",Philipsburg,Philipsburg
Vatican City,Vatican City,"Vatican City, Vatican City",Ciudad del Vaticano,"Ciudad del Vaticano, Ciudad del Vaticano",Vatican City,Ciudad del Vaticano
Nampo,North Korea,"Nampo, North Korea",Nampo,"Nampo, Corea del Norte",Nampo,Nampo
Accra,Ghana,"Accra, Ghana",Accra,"Accra, Ghana",Accra,Accra
Doha,Qatar,"Doha, Qatar",Doha,"Doha, Qatar",Doha,Doha
Luxembourg,Luxembourg,"Luxembourg, Luxembourg",Luxemburgo,"Luxemburgo, Luxemburgo",Luxembourg,Luxemburgo
Hamhung,North Korea,"Hamhung, North Korea",Hamhung,"Hamhung, Corea del Norte",Hamhung,Hamhung
Chamonix,France,"Chamonix, France",Chamonix,"Chamonix, Francia",Chamonix,Chamonix
Hamilton,Bermuda,"Hamilton, Bermuda",Hamilton,"Hamilton, Bermudas",Hamilton,Hamilton
Zhucheng,China,"Zhucheng, China",Zhucheng,"Zhucheng, China",Zhucheng,Zhucheng
"Cody, WY",United States,"Cody, WY, United States","Cody, WY","Cody, WY, Estados Unidos",Cody,Cody
Zhengzhou,China,"Zhengzhou, China",Zhengzhou,"Zhengzhou, China",Zhengzhou,Zhengzhou
Basel,Switzerland,"Basel, Switzerland",Basilea,"Basel, Suiza",Basel,Basilea
Ashgabat,Turkmenistan,"Ashgabat, Turkmenistan",Ashgabat,"Ashgabat, Turkmenistán",Ashgabat,Ashgabat
Arendal,Norway,"Arendal, Norway",Arendal,"Arendal, Noruega",Arendal,Arendal
McMurdo Station,Antarctica,"McMurdo Station, Antarctica",Estación McMurdo,"Estación McMurdo, Antártida",McMurdo Station,Estación McMurdo
Amundsen-Scott,Antarctica,"Amundsen-Scott, Antarctica",Amundsen-Scott,"Amundsen-Scott, Antártida",Amundsen-Scott,Amundsen-Scott
Saint Helier,Jersey,"Saint Helier, Jersey",Saint Helier,"Saint Helier, Jersey",Saint Helier,Saint Helier
"Park City, UT",United States,"Park City, UT, United States","Park City, UT","Park City, UT, Estados Unidos",Park City,Park City
Anshan,China,"Anshan, China",Anshan,"Anshan, China",Anshan,Anshan
Karachi,Pakistan,"Karachi, Pakistan",Karachi,"Karachi, Pakistan",Karachi,Karachi
Rawalpindi,Pakistan,"Rawalpindi, Pakistan",Rawalpindi,"Rawalpindi, Pakistán",Rawalpindi,Rawalpindi
Zhuhai,China,"Zhuhai, China",Zhuhai,"Zhuhai, China",Zhuhai,Zhuhai
Kuwait City,Kuwait,"Kuwait City, Kuwait",Ciudad de Kuwait,"Ciudad de Kuwait, Kuwait",Kuwait City,Ciudad de Kuwait
Basse-Terre,Guadeloupe,"Basse-Terre, Guadeloupe",Basse-Terre,"Basse-Terre, Guadalupe",Basse-Terre,Basse-Terre
Deventer,Netherlands,"Deventer, Netherlands",Deventer,"Deventer, Holanda",Deventer,Deventer
Naples,Italy,"Naples, Italy",Nápoles,"Nápoles, Italia",Naples,Nápoles
Sariwon,North Korea,"Sariwon, North Korea",Sariwon,"Sariwon, Corea del Norte",Sariwon,Sariwon
"Palm Desert, CA",United States,"Palm Desert, CA, United States","Palm Desert, CA","Palm Desert, CA, Estados Unidos",Palm Desert,Palm Desert
Lugano,Switzerland,"Lugano, Switzerland",Lugano,"Lugano, Suiza",Lugano,Lugano
Road Town,British Virgin Islands,"Road Town, British Virgin Islands",Road Town,"Road Town, Islas Vírgenes Británicas",Road Town,Road Town
Duhok,Kurdistan,"Duhok, Kurdistan",Duhok,"Duhok, Kurdistán",Duhok,Duhok
"Frederick, MD",United States,"Frederick, MD, United States","Frederick, MD","Frederick, MD, Estados Unidos",Frederick,Frederick
